ref_id	ref_sent	ref_len	czeng_s
352	However, there must be a logical link between regulation of UTPs and revised monopolies legislation to make sure that it is only the logical initiators of contracts with UTPs – i.e., parties with the dominant position – that are sanctioned.	40	1.78
353	This central contact point should also be responsible for checking the Commission's work programme and impact assessment programme to see whether any territorial impact assessments are necessary, and, if so, to launch such assessments (in cooperation with the DG responsible);	40	2.465
354	The quantification is based on the assumption that, whenever the estimated amount at risk is below the 5 % payment retention in place for any operational programme, the controls in place for the OP closure would appropriately mitigate the risk.	40	0.953
355	He was simply a youth tremendously excited with life, and though he was a con-man, he was only conning because he wanted so much to live and to get involved with people who would otherwise pay no attention to him.	40	2.454
356	According to this Communication, the aid elements related to the guarantee would be equal to the difference between the remuneration rate on the guarantee and a reference rate defined as the interbank market reference rate (IBOR) plus 75 basis points.	40	0.888
357	On 8 June 2015, the Council adopted Decision (CFSP) 2015/883 ( 2 ) extending the European Union mission to provide advice and assistance for security reform in the Democratic Republic of the Congo (‘EUSEC RD Congo’) until 30 June 2016.	40	0.42
358	A mission carried out in Portugal by the Food and Veterinary Office (FVO) in June 1999 concluded that the recall of those existing stocks was completed and that the controls on the effectiveness of the feed ban were applied properly.	40	0.819
359	The Commission shall, within six months of the date on which this Decision takes effect, publish in the Official Journal of the European Communities , a list of all committees which assist the Commission in the exercise of implementing powers.	40	0.619
360	For the purpose of a fair comparison between the normal value and export price, due allowance, in the form of adjustments, was made for differences which affect prices and price comparability in accordance with Article 2(10) of the basic Regulation.	40	0.495
361	The Contracting Parties shall cooperate in the framework of the Joint Committee under Article 22 (The Joint Committee) to facilitate the exchange of statistical information between them for the purpose of monitoring the development of air services under this Agreement.	40	0.402
362	The attempt to preserve her identity in machine storage did not fail for the reasons that had terminated the earlier trials, with the other members of her tribe: poor match of chemistry to receptors; incomplete transfer of information; wrong coding.	40	1.766
363	(See images) ( 1 ) Classification is determined by general rules 1 and 6 for the interpretation of the Combined Nomenclature, Note 7(f) to Section XI and by the wording of CN codes 6307, 6307 90 and 6307 90 98.	40	0.719
364	The man who had left the hotel in Paris with Suleiman joined them from the house, followed by the driver of the bakery van and a third armed manan Uzbek from the look of his face and Central Asian cap.	40	2.213
365	* Every time I try to tell you how I feel in my heart, * * my nerve begins to unravel and the words fall apart, * * let my love light shine from the prism of my eyes *	40	2.309
366	142 Therefore the Commission was right to find that the disclosure of such information on the cost components of Caremar’s operating accounts could damage its commercial interests and would be contrary to Article 4(2), first indent, of Regulation No 1049/2001.	40	0.783
367	At the same time, the Union’s ability to act effectively supports the parallel process of working towards a constitutional and institutional settlement — a settlement that would in turn bring about a more efficient and democratic Europe for the future.	40	1.805
368	Before placing on the market or putting into service any equipment referred to in Article 12 the manufacturer, or his authorised representative established in the Community, shall subject each type of equipment to one of the following conformity assessment procedures:	40	0.616
369	It is essentially only the employee benefits obligations of the Commission towards its staff which are paid out over a longer period, noting that the funding of the pension payments by the annual budgets is guaranteed by the Member States.	40	1.184
370	Thanks to the favourable conditions in which they grow (soil, precipitation levels and average temperatures), Tettnang hops can reach heights of 8,3 m, unlike hops in other areas (support systems in other growing areas are normally 7-7,5 m in height).	40	1.882
371	Instead, it will require a combination of the CDM, development aid, innovative financing mechanisms (like the EU Global Energy Efficiency and Renewable Energy Fund), targeted loans from international financial institutions and efforts by those developing countries that have the means.	40	1.083
372	Amendment 164 Proposal for a regulation Article 115 – paragraph 1 – point b (b) the functioning of a body which pursues an aim of general European interest or has an objective forming part of a Union policy (operating grants).	40	0.463
373	She must have heard the man rushing past her, his rapid breath when he stopped, then his flapping departure, but her back is still straight in the loose green robe, her head still faces forward at the same upright angle.	40	1.942
374	Furthermore, the sanitary tapware equipped with a sensor shall have an in-built ‘security technical feature’ with a pre-set shut-off time of maximum 2 minutes to prevent an accident or continuous water flow from taps or showers when not in use.	40	2.011
375	In other words, although the determination of the nature and scope of an SGEI mission falls within the competence and discretionary powers of Member States, such competence is neither unlimited nor can it be exercised arbitrarily ( 28 ) .	40	0.754
376	According to the UK authorities, since the decision to generate is motivated by the level of avoidable costs and in view of the fact that nuclear plants have the lowest short run marginal costs, running nuclear plants is economically rational.	40	1.284
377	In order to achieve this, the Commission envisages a series of legislative measures to tie in with the recasting of the first railway package planned for 2008, together with incentives and funding, the latter to be released from existing appropriations.	40	1.688
378	The running of the limitation period is determined in Article 11 of Directive 85/374 on the basis of objectively ascertainable criteria: the period runs from the time when the producer puts the product into circulation, and lasts for 10 years.	40	1.034
379	I saw that under the mask of these half humorous innuendoes, this old seaman, as an insulated Quakerish Nantucketer, was full of his insular prejudices, and rather distrustful of all aliens, unless they hailed from Cape Cod or the Vineyard.	40	1.792
380	The gray around them seemed alive, moving, like fog on the river on a dark night, when the banks vanish and the lights vanish and there is nothing in the world but your boat and the river and the fog.	40	1.023
381	But a lot of people didn't have any kind of reference to make to it because They know about the bands over here but the whole thing, your character, and his running the TV show Do you want a cigarette?	40	1.677
382	( 19 ) In some cases, the amounts indicated in the table do not entirely correspond to the given formula (provable loss in CZK/km multiplied by the number of kilometres does not entirely match the overall provable loss in CZK).	40	0.506
383	With the question it has referred for a preliminary ruling, the national court is seeking to ascertain whether the notion of restriction of competition by object contained in Article 81(1) EC is to be interpreted as covering the processors’ arrangements.	40	1.036
384	And that July 4th, on an East Hampton sand dune... ...Samantha learned that good things do come to those who wait... ...when she and Rikard resumed their date in the land of the free... ...and the home of the hormones.	40	1.461
385	This will also help avoiding the need for sudden, sharp reductions in MTRs in the future and facilitate a swifter transition to the efficient costing methodology set out in the Commission's Recommendation to be applied by the end of 2012.	40	0.806
386	Budget execution has been tightened, a one-time surcharge on the personal income tax has been introduced, increases in the VAT rates of natural gas and electricity have been brought forward from 2012 and sales of concessions will be stepped up.	40	0.736
387	The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Zootechnics, HAS ADOPTED THIS DECISION: Article 1 The Annex to Decision 84/247/EEC is amended in accordance with the Annex to this Decision.	40	0.226
388	The use of flat rates has been accepted by the Court of Justice as being in conformity with the legal rules governing the conformity work and endorsed, under certain circumstances, by the European Parliament in its 2007 discharge resolution (§83).	40	0.737
389	In accordance with Article 104(12) of the Treaty, a Council Decision on the existence of an excessive deficit is to be abrogated when the excessive deficit in the Member State concerned has, in the view of the Council, been corrected.	40	0.162
390	Bruenor's grim tone brought many of the spokesmen to realize that the threat was simply too grave to be passed off as the deception of a desperate captive, or even as a more insidious plan by Cassius and some conspirators.	40	2.053
391	The request demonstrates that, without the derogation, the ability of the Cape Verdean fish processing industry to continue exporting to the Union would be significantly affected, which might deter further development of the Cape Verdean fleet for small pelagic fishing.	40	0.771
392	Renal impairment Cmax and AUC of rivastigmine were more than twice as high in subjects with moderate renal impairment compared with healthy subjects; however there were no changes in Cmax and AUC of rivastigmine in subjects with severe renal impairment.	40	0.121
393	With several legacy pre-ODF1.2 and ODF1.2-only consumers out there, users wanted a more backward-compatible ODF 1.2 extended mode, that uses stuff deprecated in 1.2, and/or is 'bug-compatible' to older OpenOffice.org versions. Therefore the ODF 1.2 Extended (compat) mode was introduced.	40	n/a
394	An operator shall ensure that propeller driven aeroplanes with a maximum approved passenger seating configuration of 9 or less, and a maximum take-off mass of 5 700 kg or less are operated in accordance with Subpart H (Performance Class B).	40	0.323
395	Furthermore, the system is very sluggish, which means that it often takes decades to implement new technologies; calls for more resources to be devoted to energy technology under the Research, Technology and Demonstration Framework Programme and under Intelligent Energy Europe.	40	1.14
396	Chapter II BUREAU Rule 3 The election of the bureau members shall comply with the principle of observing an overall and geographical balance between the groups, with at least one, and a maximum of three, representatives from each Member State.	40	1.815
397	As maintained in the context of the first part of the third plea in law, however, the General Court confines itself in subsequent examinations of Commission decisions to obvious inconsistencies and does not make its own direct findings of fact.	40	2.683
398	Article 5(4) of Annex XIII to the Staff Regulations concerns temporary servants ‘whose names appear on the list of candidates suitable for transfer from one category to another’ and those ‘on the list of successful candidates of an internal competition’.	40	0.395
399	When do we start? Narrator: As Marvel Studios was unleashing epic adventures onto movie screens around the globe, smaller stories were being developed to expand the universe, giving fans a shot to further connect with some of their favorite characters.	40	2.767
